Assalamualaikum| Waalaikumsallam ada yang bisa saya bantu ? silahkan bertanyaa
Apa itu nibot ?| Hai Nibot merupakan suatu aplikasi yang dibuat untuk para pasangan yang akan menikah Disini kalian bisa berkonsultasi mengenai permasalahan pra nikah looh. Yuk langsung tanya
Apa itu menikah ?| Nikah secara bahasa berarti menggabungkan atau mengumpulkan Sedangkan menurut istilah menikah adalah akad yang dengannya dihalalkan bagi seorang laki-laki untuk menyentuh, bercumbu, mencium dan semacamnya kepada seorang perempuan.
Bagaimana hukum menikah ?| Nikah termasuk kedalam Sunnah para Rasul
Dalil Menikah| Allah berfirman “ Dan Sesungguhnya Kami telah mengutus beberapa Rasul sebelum kamu dan Kami memberikan kepada mereka istri-istri dan keturunan.”(Ar-Ra’d:38).
Bagaimana Hukum Menikah Wajib ?| wajib hukumnya menikah bagi pasangan ketika nafsunya bergolak dan takut terjerumus pada perzinaan
Bagaimana Hukum menikah haram?| Diharamkan seseorang untuk menikah apabila tidak mampu untuk memberikan nafkah lahir dan batin kepada istrinya , menikahi wanita yang terus melacurkan diri,  menikahi wanita yang sedang masaa iddah, dan menikah tanpa wali.
Bagaimana Hukum menikah Sunah ?| Sunnah Hukumnya menikah bagi seseorang yang memiliki nafsu yang sudah bergolak serta mampu untuk menikah tetapi dia masih bisa menahan nafsunya tersebut.
Bagaimana Hukum Menikah Makruh ?| Makruh hukumnya menikah bagi seorang laki-laki yang tidak memiliki penghasilan serta kemampuan untuk berhubungan seksualnya tidak sempurna tetapi calon istrinya rela serta memiliki harta yang dapat mencukupi kehidupan mereka.
Bagaimana Hukum Menikah Mubah ?| Mubah Hukumnya apabila dia berada diantara orang yang mencegahnya. Namun tidak ada larangan ketika ia ingin segera menikah.
Siapa Saja yang tidak boleh dinikahi dalam islam ?|  orang yang tidak boleh dinikahi terbagi menjadi dua 1). perempuan yang haram untuk dinikahi selamanya 2). perempuan yang haram untuk dinikahi sementara  (1/2)
Siapa saja Perempuan yang haram dinikahi selamanya?| perempuan yang haram untuk dinikahi selamanya yaitu 1. Ibu kandung 2. Anak Perempuan kandung 3. Saudara perempuan 4. Bibi dari pihak ayah 5. Bibi dari pihak ibu  6. Anak perempuan kaka atau adik laki-laki 7. Anak perempuan kakak atau adik perempuan 8. Ibu mertua 9. Anak perempuan dari istri yang telah digauli 10. Menantu perempuan 11. Ibu tiri 12. Ibu susu 13. Ibu dari ibu susu (nenek)12. Ibu dari bapak susunya (kakek) 13. Adik atau kaka perempuan ibu susunya 14. Adik atau kaka perempuan bapak susunya 15. Cucu perempuan Ibu susuan 16. Adik atau kakak perempuan sesusuan.
Siapa saja Perempuan yang haram dinikahi sementara? | Perempuan yang haram dinikahi untuk sementara waktu yaitu 1. Mengumpulkan dua perempuan yang bersaudara 2. Mengumpulkan seorang istri dengan bibinya dari pihak ayah ataupun dari pihak ibu 3. Istri orang lain atau mantan istri orang lain yang sedang dalam masa iddah 4. Mantan istri yang dijatuhi talak tiga 5. Wanita Pezina
Bagaimana cara menikahi perempuan yang sedang masa iddah ?| Seorang laki-laki tidak di perbolehkan untuk menikahi seoran perempuan yang sedang dalam masa iddah kecuali perempuan tersebut menjadi tawanan perang. Tawanan perang menjadi halal bagi seseorang yang menawannya setelah masa iddahnya berakhir meskipun ia masih menjadi istri orang lain.
Bagaimana cara menikahi mantan istri yang dijatuhi talak tiga| Seorang perempuan tidak halal bagi suaminya yang pertama sebelum ia menikah dengan orang lain secara sah.
Bagaimana cara menikahi seorang wanita pezina ?| Seorang laki-laki tidak halal menikahi seorang wanita pezina begitupun sebaliknya. kecuali mereka telah benar-benar bertaubat.
Adakah batas usia minimal dalam pernikahan islam ?| Dalam ajaran islam tidak ada batasan usia minimal untuk menikah selama keduanya memiliki kesiapan baik aspek kesehatan maupun psikologis . namun, lebih baiknya ketika seseorang telah mencapai balig.
Berapa batas usia minimal yang diatur dalam undang-undang?| Batasan usia yang diatur dalam undang-undang yaitu 16 tahun bagi wanita dan 18 tahun bagi pria.
Apakah menikah dini dilarang oleh undang-undang ?| Pernikahan dini tidak dilarang selagi masing-masing calon telah memiliki kesiapan dari segala aspek.
Apa yang dimaksud dengan Nikah Siri ?| Nikah siri terbagi menjadi dua macam yang  pertama yaitu menikah tanpa wali, kemudian pernikahan yang sah secara agama namun tidak dicatatkan dalam catatan sipil Negara.
Bagaimana Hukum nikah siri dalam islam ?| Hukum pernikahan tanpa wali dilarang dalam islam itu berarti pernikahan tersebut tidak sah. Sedangkan hukum pernikahan yang tidak dicatatkan dalam catatan sipil hukumnya sah tetapi lebih baik untuk segera dicatat sebagaimana mestinya sehingga tidak terjadi hal yang tidak di inginkan seperti timbul fitnah.
Tahapan apa saja yang dilewati hingga jenjang pernikahan ?| Selain memiliki calon pendamping tahapan sebelum dilaksanakannya pernikahan diantaranya yaitu : 1. Meminta pertimbangan kepada keluarga sehingga pilihan yang anda buat benar-benar matang. 2. Melakukan shalat istikharah agar diberi kemantapan hati  3. khitbah (meminang). 4.  Setelah khitbah laki-laki diperbolehkan untuk melihat wajah wanitanya begitupun sebaliknya. 5. Jika pinangan diterima maka selanjutnya adalah akad nikah. 5. Setelah sah menjadi suami istri maka dilaksanakanlah walimah(pesta pernikahan).
Berapa jarak usia ideal antara suami dan istri?| tidak ada standar ideal jarak usia suami istri. Sebab berapapun usianya ketika keduanya telah mampu menyeimbangkan perbedaan yang ada maka rumah tangga dapat berjalan dengan langgeng, insyaAllah.
Bagaimana bila calon istri atau calon suami lebih tua ?| Jarak usia yang jauh akan memiliki banyak perbedaan, baik secara fisik maupun psikologi. Namun ketika saling mengerti dengan perbedaannya maka rumah tangga akan lebih semarak. Contohnya Rasulullah pernah melakukan lomba lari dengan Aisyah. Berarti Rasulullah mengerti bahwa usia Aisyah masih sangat muda sehingga beliau perlu melakukan hal-hal yang menyenangkan baginya.
Perlukah tes kesehatan sebelum menikah ?| Mahmud Al-Istanbuli mengungkapkan bahwa syari’at mewajibkan calon suami istri untuk memeriksa kesehatan sebelum melangsungkan pernikahan. Hal ini untuk mengetahui tingkat kesuburan wanita serta kesehatan sperma yang dimiliki oleh laki-laki. Selain itu juga untuk mengetahui adanya penyakit menular yang membahayakan.
Bolehkah adanya syarat pra nikah ?| Syarat pra-nikah ada dua , yakni : 1. Syarat pra-nikah wajib , 2. Syarat pra-nikah yang tidak wajib.
Apa saja syarat pra-nikah wajib ?| syarat pra-nikah wajib yaitu rangkaian dan tujuan pernikahan  seperti memberi nafkah , menggauli istri dengan baik, tidak mengurangi hak istri apabila melakukan madu, istri tidak boleh keluar rumah tanpa seijin suami, tidak menerima tamu / orang lain dirumah suami, tidak membelanjakan harta suami kecuali izin darinya, dan sebagainya.
apa saja syarat pra-nikah tidak wajib ?| syarat yang tidak wajib dipenuhi yaitu syarat yang menyalahi hukum seperti tidak memberi belanja, tidak mau bersetubuh, menikah tanpa mahar, memisahkan diri dari istrinya, istrinya yang memberi nafkah, dalam seminggu hanya tinggal satu hari, atau hanya tinggal siang saja.
Bagaimana pandangan islam kepada seks pra-nikah ? | seks pra-nikah merupakan suatu hal yang memiliki dampak buruk bagi kehidupan masyarakat. Seseorang yang melakukan hubungan suami istri ketika masih pacaran atau tunangan itu haram hukumnya karena dalam islam halal melakukan hubungan suami istri ketika mereka telah menikah.
Solusi dalam mengatasi seks pra-nikah ?| solusi riil untuk mengatasi seks pra-nikah diantaranya yaitu menikah , menutup aurat, dan melarang segala perbuatan yang dapat merusak akhlak.
Lebih penting kuliah, kerja, atau nikah ?| kuliah mencari ilmu, menikah merupakan sunnah Rasul, dan bekerja merupakan suatu usaha dalam mencari rezeki. Mana yang lebih penting itu kembali kepada keadaan, kondisi, serta kebutuhan masing-masing.
Persiapan finansial yang diperlukan didalam rumah tangga ? |  persiapan finansial tidak dapat dianggap enteng, tetapi minimal suami telah bisa mencukupi kebutuhan saat proses pernikahan dan mampu mencukupi kebutuhan keluarga sudah resmi menikah.
 Bagaimana kriteria calon pasangan ideal dalam islam ? | Rasulullah berpesan untuk memilih wanita yang baik agamanya. Karena ketika pernikahan didasari oleh faktor agama, target untuk menjadi sakinah, mawadah, warahmah pun insyaAllah dapat terwujud.
Bagaimana tanda-tanda calon pasangan yang shaleh ?| Pasangan yang saleh adalah pasangan yang baik dalam agamanya dan berakhlak mulia.
Bagaimana mencari calon yang sekufu’ atau sepadan| faktor utama kesepadanan yaitu agamanya kemudian baru yang lainnya. Cara mencari calon yang sekufu’ dapat dengan cara mencari informasi dari orang lain serta dari media-media lain yang terpercaya.
Bagaimana cara menyikapi sifat yang terlalu selektif dalam mencari pasangan ?| selektif dalam memilih calon pasangan memang wajar. Tetapi apabila terlalu selektif maka akan mempersulit bagi yang bersangkutan dalam mendapatkan jodoh, oleh karena itu luruskan kembali niat menikah adalah untuk Ibadah jadi, dalam memilih pasangan utamakanlah keshalehannya kemudian baru kriteria yang lain.
apa yang harus saya lakukan untuk segera menikhah, ketika tidak memiliki pendamping ?| langkah untuk mendapatkan jodoh yang shaleh dan shalehah yaitu carilah di pondok pesantren, pengajian, atau majlis ta’lim untuk mendapatkan jodoh. Yang kedua ketika sudah mulai naksir maka temuilah walinya untuk mengutarakan maksud baik untuk menikahinya.
Bagaimana jika ditawari menikah dengan beberapa akhwat ?| mintalah pendapat kepada orang yang berpengalaman dalam hal tersebut. Kemudian shalat istikharahlah untuk menyerahkan segalanya kepada Allah SWT.
Takut ditolak saat taaruf karena tidak terlalu cantik apa yang harus dilakukan ? | Apabila calon pasanganmu menolak ketika akan taaruf maka ketahuilah Allah telah menunjukan bahwa dia bukannya jodohmu. Ketika pasangan taarufmu menerima ketidak cantikan itu maka dia adalah laki-laki shaleh yang tidak melihat seseorang dari fisik yang dipilihkan oleh Allah untuk menjadi jodohmu.
Apakah normal ketika akan menikah terjadi ketakutan mandul dan impotensi ?| kemandulan dan impotensi terjadi karena ada sebabnya yaitu mengkonsumsi alkohol, narkoba, merokok, obat-obatan yang tidak jelas, serta penggunaan radiasi dan kemoterapi untuk pengobatan kanker. Selagi kita tidak melakukan sebab-sebab tersebut maka  tidak perlu khawatir akan terjadinya kemandulan atau impotensi.
Calon istri lebih kaya bagaimana agar tidak minder ?| Kemuliaan seseorang tidak diukur dari hartanya tetapi ketaqwaannya. Seorang suami tetap pemimpin yang bertanggung jawab dalam segala hal bagi istrinya serta seseorang yang harus dihormati istrinya meskipun istrinya lebih kaya.
